iter	MultiClass
0	1.361658484
1	1.340800058
2	1.322233215
3	1.305269
4	1.28908982
5	1.274281574
6	1.26010032
7	1.246913375
8	1.234513656
9	1.222179011
10	1.21121737
11	1.2010399
12	1.191469927
13	1.181111272
14	1.172530006
15	1.164002115
16	1.155149717
17	1.147120955
18	1.139390756
19	1.131992882
20	1.12477818
21	1.118209345
22	1.111594693
23	1.105534533
24	1.099447688
25	1.09299595
26	1.086700776
27	1.080610964
28	1.074441128
29	1.068605887
30	1.063593029
31	1.058327867
32	1.053587279
33	1.048165528
34	1.042940394
35	1.037438225
36	1.03208551
37	1.027546786
38	1.022740949
39	1.017600016
40	1.01306457
41	1.008698005
42	1.004480679
43	1.00022279
44	0.9955674872
45	0.9916847742
46	0.9875526123
47	0.9839577614
48	0.9800656558
49	0.9759086727
50	0.9724868136
51	0.9685937016
52	0.964845167
53	0.9612777269
54	0.9575728385
55	0.953971322
56	0.9507274441
57	0.9472451558
58	0.9440178179
59	0.9407158023
60	0.9374673197
61	0.9343713862
62	0.9310371066
63	0.9281398544
64	0.9253078088
65	0.9223272843
66	0.918975326
67	0.9160936075
68	0.9133918911
69	0.9105584064
70	0.9079613898
71	0.9052830218
72	0.902299724
73	0.8995804364
74	0.8966106621
75	0.8934266157
76	0.890933412
77	0.8884635769
78	0.8860386563
79	0.8835710319
80	0.8810713123
81	0.8785336091
82	0.8762170525
83	0.8731633796
84	0.8698789505
85	0.8673834852
86	0.864954237
87	0.8625433537
88	0.86028234
89	0.8581469286
90	0.855868122
91	0.8537605409
92	0.8516878894
93	0.8495471642
94	0.8475766458
95	0.8452812409
96	0.8434493158
97	0.8413931526
98	0.8392023701
99	0.8368288482
