iter	Passed	Remaining
0	3186	315430
1	5847	286512
2	7821	252910
3	9690	232582
4	11664	221616
5	13584	212827
6	15588	207099
7	17570	202055
8	19586	198038
9	21440	192968
10	23187	187611
11	24947	182945
12	26702	178698
13	28447	174746
14	30186	171054
15	31935	167661
16	33693	164505
17	35432	161412
18	37191	158551
19	38937	155750
20	40691	153078
21	42439	150467
22	44175	147893
23	45942	145483
24	47901	143705
25	49729	141538
26	51518	139291
27	53321	137113
28	55052	134784
29	56737	132387
30	58484	130175
31	60250	128031
32	62088	126057
33	63998	124232
34	66028	122623
35	67875	120668
36	69647	118588
37	71452	116580
38	73268	114599
39	75104	112656
40	77044	110868
41	78882	108933
42	80673	106939
43	82376	104843
44	84455	103223
45	86193	101184
46	87942	99169
47	89726	97203
48	91509	95244
49	93686	93686
50	95463	91719
51	97244	89763
52	98986	87780
53	100735	85811
54	102428	83805
55	104240	81903
56	106001	79965
57	107784	78051
58	109517	76105
59	111277	74184
60	113033	72267
61	114825	70376
62	116542	68445
63	118344	66568
64	120192	64718
65	121963	62829
66	123687	60920
67	125448	59034
68	127230	57161
69	129328	55426
70	131247	53608
71	133209	51803
72	135177	49997
73	136924	48108
74	138683	46227
75	140405	44338
76	142115	42450
77	143827	40566
78	145601	38704
79	147280	36820
80	149074	34968
81	150790	33100
82	152584	31252
83	154575	29442
84	156426	27604
85	158149	25745
86	159820	23881
87	161510	22024
88	163223	20173
89	164908	18323
90	166525	16469
91	168136	14620
92	169842	12783
93	171462	10944
94	173100	9110
95	174792	7283
96	176474	5457
97	178305	3638
98	180057	1818
99	181930	0
